DBN,Zip_Code,Lat,Lon,Private_School_Count,Planned_Housing_Units,School_Age_Pop_2019,School_Age_Pop_2020,School_Age_Pop_2021,School_Age_Pop_2022,School_Age_Pop_2023
24Q330,,,,0,0.0,0,0,0,0,0
84K362,,,,0,0.0,0,0,0,0,0
84R077,,,,0,0.0,0,0,0,0,0
08X405,10461,40.83978,-73.8396,0,0.0,9899,10791,11430,11027,11036
04M680,10029,40.79197,-73.9469,0,0.0,15698,14415,14207,13641,14093
24Q550,11368,40.73767,-73.8534,0,0.0,30109,28414,29582,27965,26340
19K504,11207,40.66687,-73.8951,0,0.0,20716,21588,23752,21806,20433
28Q328,11432,40.71455,-73.7987,0,0.0,13444,13662,14054,13440,13626
27Q650,11416,40.68918,-73.8415,0,0.0,6265,5722,6050,6340,5707
11X544,10467,40.87517,-73.8616,0,0.0,25413,25646,26137,23339,22698
02M545,10002,40.71733,-73.9893,0,272414.0,9477,9733,10321,10028,10121
10X565,10458,40.85539,-73.8825,0,0.0,23389,23063,23286,21249,19679
02M400,10019,40.76785,-73.9886,0,0.0,3451,3057,2934,2766,2716
06M423,10034,40.86556,-73.9255,0,0.0,8140,7918,8152,8052,7338
06M468,10040,40.85653,-73.9261,0,0.0,7895,8175,8043,7658,6566
02M420,10003,40.73267,-73.9826,0,85403.0,3374,3923,3721,3866,3792
18K617,11236,40.64054,-73.8986,0,0.0,22945,22174,22914,21790,20165
06M467,10040,40.85653,-73.9261,0,0.0,7895,8175,8043,7658,6566
28Q690,11434,40.68584,-73.7834,0,0.0,14827,14165,14986,15461,14701
03M492,10023,40.77489,-73.9856,0,0.0,8483,8579,9261,9257,9970
05M692,10031,40.82021,-73.9504,0,0.0,9722,9683,10108,9190,9144
06M463,10040,40.85653,-73.9261,0,0.0,7895,8175,8043,7658,6566
18K633,11236,40.64054,-73.8986,0,0.0,22945,22174,22914,21790,20165
17K546,11203,40.65867,-73.9438,0,0.0,15813,15765,15236,14669,14275
17K539,11226,40.6496,-73.9572,0,0.0,22108,20534,19770,18944,18479
10X433,10468,40.86906,-73.8971,0,0.0,21333,20905,22105,21512,20563
09X543,10456,40.82746,-73.9039,0,0.0,25983,24695,24654,23966,24039
17K537,11226,40.6496,-73.9572,0,0.0,22108,20534,19770,18944,18479
02M560,,,,0,0.0,0,0,0,0,0
10X696,10468,40.87473,-73.8955,0,0.0,21333,20905,22105,21512,20563
