School_Type,% Female,% Male,% Asian,% Black,% Hispanic,% White,% Students with Disabilities,% English Language Learners
C,0.4992715404699739,0.5007197563098347,0.027506527415143603,0.4679843342036554,0.43610443864229764,0.04400174064403829,0.20345430809399478,0.0925065274151436
DS,0.47908110472381904,0.5208979005248688,0.1295546113471632,0.2740384903774057,0.4374961259685079,0.12761609597600598,0.24572356910772306,0.1516859535116221
SA,0.5131325966850828,0.4868563535911602,0.05839226519337017,0.4779171270718232,0.338828729281768,0.09069060773480662,0.1683756906077348,0.07464088397790056
